"car_name","car_url","car_price","car_price_url","car_mileage","car_mileage_url","car_market_value_difference","car_market_value_difference_url"
"2016 Hyundai Elantra SE Sedan FWD
Description: Used 2016 Hyundai Elantra SE Sedan FWD for sale - $9,285 - 135,645 mi with Steel Wheels
Certified Pre-Owned: No
Transmission: Automatic
Color: BLUE","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=98121&inventorySearchWidgetType=PRICE&maxPrice=12000&showNegotiable=true&sortDir=ASC&sourceContext=untrackedExternal_false_0&distance=100&sortType=DEAL_SCORE#listing=308300843/PRIORITY","$9,285
$173/mo est.*
*Estimated payments are for informational purposes only and may or may not account for financing pre-qualifications, acquisition fees, destination charges, tax, title, and other fees and incentives or represent a financing offer or guarantee of credit from the seller. Monthly Estimate based on a 4.4% APR for 60 months, $9,285 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=98121&inventorySearchWidgetType=PRICE&maxPrice=12000&showNegotiable=true&sortDir=ASC&sourceContext=untrackedExternal_false_0&distance=100&sortType=DEAL_SCORE#listing=308300843/PRIORITY","$173/mo est.*","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=98121&inventorySearchWidgetType=PRICE&maxPrice=12000&showNegotiable=true&sortDir=ASC&sourceContext=untrackedExternal_false_0&distance=100&sortType=DEAL_SCORE#listing=308300843/PRIORITY","$1,455 BELOW","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=98121&inventorySearchWidgetType=PRICE&maxPrice=12000&showNegotiable=true&sortDir=ASC&sourceContext=untrackedExternal_false_0&distance=100&sortType=DEAL_SCORE#listing=308300843/PRIORITY"
"2012 Kia Optima Hybrid EX
Description: Used 2012 Kia Optima Hybrid EX for sale - $7,998 - 162,639 mi with Adaptive Cruise Control, Alloy Wheels, Bluetooth, Backup Camera, Convenience Package
Certified Pre-Owned: No
Transmission: 6-Speed Automatic
Color: WHITE","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=98121&inventorySearchWidgetType=PRICE&maxPrice=12000&showNegotiable=true&sortDir=ASC&sourceContext=untrackedExternal_false_0&distance=100&sortType=DEAL_SCORE#listing=313524107/FEATURED","$7,998
$149/mo est.*
*Estimated payments are for informational purposes only and may or may not account for financing pre-qualifications, acquisition fees, destination charges, tax, title, and other fees and incentives or represent a financing offer or guarantee of credit from the seller. Monthly Estimate based on a 4.4% APR for 60 months, $7,998 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=98121&inventorySearchWidgetType=PRICE&maxPrice=12000&showNegotiable=true&sortDir=ASC&sourceContext=untrackedExternal_false_0&distance=100&sortType=DEAL_SCORE#listing=313524107/FEATURED","$149/mo est.*","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=98121&inventorySearchWidgetType=PRICE&maxPrice=12000&showNegotiable=true&sortDir=ASC&sourceContext=untrackedExternal_false_0&distance=100&sortType=DEAL_SCORE#listing=313524107/FEATURED","",""
"2013 Volkswagen Jetta SEL
Description: Used 2013 Volkswagen Jetta SEL for sale - $10,699 - 124,651 mi with Sunroof/Moonroof, Alloy Wheels, Heated Seats
Certified Pre-Owned: No
Transmission: 6-Speed Automatic
Color: BLACK","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=98121&inventorySearchWidgetType=PRICE&maxPrice=12000&showNegotiable=true&sortDir=ASC&sourceContext=untrackedExternal_false_0&distance=100&sortType=DEAL_SCORE#listing=316480236/FEATURED","$10,699
$199/mo est.*
*Estimated payments are for informational purposes only and may or may not account for financing pre-qualifications, acquisition fees, destination charges, tax, title, and other fees and incentives or represent a financing offer or guarantee of credit from the seller. Monthly Estimate based on a 4.4% APR for 60 months, $10,699 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=98121&inventorySearchWidgetType=PRICE&maxPrice=12000&showNegotiable=true&sortDir=ASC&sourceContext=untrackedExternal_false_0&distance=100&sortType=DEAL_SCORE#listing=316480236/FEATURED","$199/mo est.*","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=98121&inventorySearchWidgetType=PRICE&maxPrice=12000&showNegotiable=true&sortDir=ASC&sourceContext=untrackedExternal_false_0&distance=100&sortType=DEAL_SCORE#listing=316480236/FEATURED","",""
"2011 Toyota Tacoma Regular Cab
Description: Used 2011 Toyota Tacoma Regular Cab for sale - $8,500 - 136,621 mi
Certified Pre-Owned: No
Transmission: 4-Speed Automatic
Color: WHITE","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=98121&inventorySearchWidgetType=PRICE&maxPrice=12000&showNegotiable=true&sortDir=ASC&sourceContext=untrackedExternal_false_0&distance=100&sortType=DEAL_SCORE#listing=315849738/NONE","$8,500
$159/mo est.*
*Estimated payments are for informational purposes only and may or may not account for financing pre-qualifications, acquisition fees, destination charges, tax, title, and other fees and incentives or represent a financing offer or guarantee of credit from the seller. Monthly Estimate based on a 4.4% APR for 60 months, $8,500 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=98121&inventorySearchWidgetType=PRICE&maxPrice=12000&showNegotiable=true&sortDir=ASC&sourceContext=untrackedExternal_false_0&distance=100&sortType=DEAL_SCORE#listing=315849738/NONE","$159/mo est.*","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=98121&inventorySearchWidgetType=PRICE&maxPrice=12000&showNegotiable=true&sortDir=ASC&sourceContext=untrackedExternal_false_0&distance=100&sortType=DEAL_SCORE#listing=315849738/NONE","",""
"2015 Nissan LEAF S
Description: Used 2015 Nissan LEAF S for sale - $9,999 - 28,527 mi with Alloy Wheels, Steel Wheels, Bluetooth, Backup Camera, Heated Seats
Certified Pre-Owned: No
Transmission: 1-Speed Automatic
Color: BLACK","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=98121&inventorySearchWidgetType=PRICE&maxPrice=12000&showNegotiable=true&sortDir=ASC&sourceContext=untrackedExternal_false_0&distance=100&sortType=DEAL_SCORE#listing=314008705/NONE","$9,999
$186/mo est.*
*Estimated payments are for informational purposes only and may or may not account for financing pre-qualifications, acquisition fees, destination charges, tax, title, and other fees and incentives or represent a financing offer or guarantee of credit from the seller. Monthly Estimate based on a 4.4% APR for 60 months, $9,999 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=98121&inventorySearchWidgetType=PRICE&maxPrice=12000&showNegotiable=true&sortDir=ASC&sourceContext=untrackedExternal_false_0&distance=100&sortType=DEAL_SCORE#listing=314008705/NONE","$186/mo est.*","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=98121&inventorySearchWidgetType=PRICE&maxPrice=12000&showNegotiable=true&sortDir=ASC&sourceContext=untrackedExternal_false_0&distance=100&sortType=DEAL_SCORE#listing=314008705/NONE","",""
"2018 Ford Fusion SE
Description: Used 2018 Ford Fusion SE for sale - $10,999 - 116,841 mi
Certified Pre-Owned: No
Transmission: 6-Speed Automatic
Color: GOLD","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=98121&inventorySearchWidgetType=PRICE&maxPrice=12000&showNegotiable=true&sortDir=ASC&sourceContext=untrackedExternal_false_0&distance=100&sortType=DEAL_SCORE#listing=310519751/NONE","$10,999
$205/mo est.*
*Estimated payments are for informational purposes only and may or may not account for financing pre-qualifications, acquisition fees, destination charges, tax, title, and other fees and incentives or represent a financing offer or guarantee of credit from the seller. Monthly Estimate based on a 4.4% APR for 60 months, $10,999 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=98121&inventorySearchWidgetType=PRICE&maxPrice=12000&showNegotiable=true&sortDir=ASC&sourceContext=untrackedExternal_false_0&distance=100&sortType=DEAL_SCORE#listing=310519751/NONE","$205/mo est.*","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=98121&inventorySearchWidgetType=PRICE&maxPrice=12000&showNegotiable=true&sortDir=ASC&sourceContext=untrackedExternal_false_0&distance=100&sortType=DEAL_SCORE#listing=310519751/NONE","",""
"2011 Subaru Outback 2.5i Limited
Description: Used 2011 Subaru Outback 2.5i Limited for sale - $9,995 - 99,731 mi with Bluetooth
Certified Pre-Owned: No
Transmission: Continuously Variable Transmission
Color: BLUE","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=98121&inventorySearchWidgetType=PRICE&maxPrice=12000&showNegotiable=true&sortDir=ASC&sourceContext=untrackedExternal_false_0&distance=100&sortType=DEAL_SCORE#listing=317109562/NONE","$9,995
$186/mo est.*
*Estimated payments are for informational purposes only and may or may not account for financing pre-qualifications, acquisition fees, destination charges, tax, title, and other fees and incentives or represent a financing offer or guarantee of credit from the seller. Monthly Estimate based on a 4.4% APR for 60 months, $9,995 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=98121&inventorySearchWidgetType=PRICE&maxPrice=12000&showNegotiable=true&sortDir=ASC&sourceContext=untrackedExternal_false_0&distance=100&sortType=DEAL_SCORE#listing=317109562/NONE","$186/mo est.*","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=98121&inventorySearchWidgetType=PRICE&maxPrice=12000&showNegotiable=true&sortDir=ASC&sourceContext=untrackedExternal_false_0&distance=100&sortType=DEAL_SCORE#listing=317109562/NONE","",""
"2015 Ford Escape SE FWD
Description: Used 2015 Ford Escape SE FWD for sale - $9,990 - 106,652 mi with Alloy Wheels, Bluetooth, Backup Camera
Certified Pre-Owned: No
Transmission: Automatic
Color: BLUE","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=98121&inventorySearchWidgetType=PRICE&maxPrice=12000&showNegotiable=true&sortDir=ASC&sourceContext=untrackedExternal_false_0&distance=100&sortType=DEAL_SCORE#listing=316954310/NONE","$9,990
$186/mo est.*
*Estimated payments are for informational purposes only and may or may not account for financing pre-qualifications, acquisition fees, destination charges, tax, title, and other fees and incentives or represent a financing offer or guarantee of credit from the seller. Monthly Estimate based on a 4.4% APR for 60 months, $9,990 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=98121&inventorySearchWidgetType=PRICE&maxPrice=12000&showNegotiable=true&sortDir=ASC&sourceContext=untrackedExternal_false_0&distance=100&sortType=DEAL_SCORE#listing=316954310/NONE","$186/mo est.*","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=98121&inventorySearchWidgetType=PRICE&maxPrice=12000&showNegotiable=true&sortDir=ASC&sourceContext=untrackedExternal_false_0&distance=100&sortType=DEAL_SCORE#listing=316954310/NONE","",""
"2009 Pontiac Vibe 2.4L
Description: Used 2009 Pontiac Vibe 2.4L for sale - $5,990 - 139,418 mi with Preferred Package, Steel Wheels, Sound Package
Certified Pre-Owned: No
Transmission: 5-Speed Automatic
Color: BLUE","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=98121&inventorySearchWidgetType=PRICE&maxPrice=12000&showNegotiable=true&sortDir=ASC&sourceContext=untrackedExternal_false_0&distance=100&sortType=DEAL_SCORE#listing=316399662/NONE","$5,990
$112/mo est.*
*Estimated payments are for informational purposes only and may or may not account for financing pre-qualifications, acquisition fees, destination charges, tax, title, and other fees and incentives or represent a financing offer or guarantee of credit from the seller. Monthly Estimate based on a 4.4% APR for 60 months, $5,990 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=98121&inventorySearchWidgetType=PRICE&maxPrice=12000&showNegotiable=true&sortDir=ASC&sourceContext=untrackedExternal_false_0&distance=100&sortType=DEAL_SCORE#listing=316399662/NONE","$112/mo est.*","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=98121&inventorySearchWidgetType=PRICE&maxPrice=12000&showNegotiable=true&sortDir=ASC&sourceContext=untrackedExternal_false_0&distance=100&sortType=DEAL_SCORE#listing=316399662/NONE","",""
"2010 Ford Expedition
Description: Used 2010 Ford Expedition for sale - $5,995 - 155,000 mi
Certified Pre-Owned: No
Transmission: Automatic
Color: SILVER","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=98121&inventorySearchWidgetType=PRICE&maxPrice=12000&showNegotiable=true&sortDir=ASC&sourceContext=untrackedExternal_false_0&distance=100&sortType=DEAL_SCORE#listing=312092715/NONE","$5,995
$112/mo est.*
*Estimated payments are for informational purposes only and may or may not account for financing pre-qualifications, acquisition fees, destination charges, tax, title, and other fees and incentives or represent a financing offer or guarantee of credit from the seller. Monthly Estimate based on a 4.4% APR for 60 months, $5,995 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=98121&inventorySearchWidgetType=PRICE&maxPrice=12000&showNegotiable=true&sortDir=ASC&sourceContext=untrackedExternal_false_0&distance=100&sortType=DEAL_SCORE#listing=312092715/NONE","$112/mo est.*","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=98121&inventorySearchWidgetType=PRICE&maxPrice=12000&showNegotiable=true&sortDir=ASC&sourceContext=untrackedExternal_false_0&distance=100&sortType=DEAL_SCORE#listing=312092715/NONE","",""
