"furniture_name","furniture_url","furniture_price","furniture_description","furniture_condition","furniture_post_time"
"Steelcase Chrome Grey Upholstery Swivel Chair Style Charles Pollock","https://seattle.craigslist.org/see/fuo/d/federal-way-steelcase-chrome-grey/7409054217.html","$275","Handsome swivel chair by Steelcase model #454 in the style of Charles Pollock. Comprised of its original gray fabric, chrome shaft with swivel, chrome arms, and five prong chrome base. Beautiful condition, keeping in mind that this is vintage so will show signs of wear and use.
• Height – 32 inches
• Width – 26 inches
• Depth – 25.5 inches
• Seat height – 19 inches
• Arm height – 25 inches
• Inside seat width – 19.5 inches
• Inside seat depth – 18 inches
• Inside back height – 15 inches
• Weight – 41.03 pounds
We delivery for a fee","Steelcase","21 minutes ago"
"Tv stand for 55” tv","https://seattle.craigslist.org/see/fuo/d/everett-tv-stand-for-55-tv/7409054575.html","$120","tv stand fits 55” TVs
Mod style is made easy with this mid-century TV stand! Crafted of solid and manufactured wood
Excellent condition.","excellent","16 minutes ago"
"Mirror with frame for dresser or mantel","https://seattle.craigslist.org/est/fuo/d/kirkland-mirror-with-frame-for-dresser/7409054263.html","$35","mirror for dresser or mantel, asking $35. size: 44wx4.5Dx43H.","like new","21 minutes ago"
"Swan Chair, Model 3320, by Arne Jacobsen and by Fritz Hansen, 1950s","https://seattle.craigslist.org/see/fuo/d/federal-way-swan-chair-model-3320-by/7409054200.html","$3,795","AUTHENTIC Vintage Swan chair, model 3320, designed by Arne Jacobsen in 1958 and manufactured by Fritz Hansen in 1950s. The chair is with original condition in black leather. In Pristine condition!!
Dimensions
Height: 30.32 in. (77 cm)
Width: 29.14 in. (74 cm)
Depth: 26.78 in. (68 cm)
this chair sells over 4K on etsy,chairish,ebay,pamono, etc. before shipping and tax and 8K new. Please no lowballers, I am firm on Price.","Swan Chair","21 minutes ago"
"Vintage Mid-Century Modern Drexel Declaration Dresser by Kipp Stewart","https://seattle.craigslist.org/see/fuo/d/federal-way-vintage-mid-century-modern/7409054182.html","$1,845","Mid Century Modern wild grain walnut wood triple dresser by famed American designers, Kipp
Height: 31 Inches; Width: 62 Inches; Depth: 20 Inches
Kipp Stewart and Stewart MacDougall. Produced for Drexel’s Declaration line in 1959, this piece is exemplary of the Danish Modern design aesthetic.
Condition:
This piece is in great vintage condition with wear consistent with age. Please see pictures for condition and if you have questions about the condition, please ask prior to purchase.
Holding and Delivery will require a deposit. Curbside Delivery fee varies on loc please us ask for terms.
SERIOUS BUYER ONLY","Declaration","22 minutes ago"
"Reclining sofa couch","https://seattle.craigslist.org/see/fuo/d/seattle-reclining-sofa-couch/7409053776.html","$150","Selling a reclining sofa couch for $150 obo. Used but recently had an upholstery steam clean.
No delivery, must pick up.","86” x 38” x 38”","28 minutes ago"
"L-shaped sofa sleeper with ottoman","https://seattle.craigslist.org/see/fuo/d/seattle-shaped-sofa-sleeper-with-ottoman/7409053710.html","$275","Need to make space and no longer need this microsuede L-shaped sleeper sofa. The ottoman can be move to either side.","80 x 32 x 34/67","29 minutes ago"
"Dania glass Coffee Table","https://seattle.craigslist.org/est/fuo/d/kirkland-dania-glass-coffee-table/7409053608.html","$100","Dania glass Coffee Table, asking $100.. 56x27.5x17high","excellent","31 minutes ago"
"light weight chair and cushions","https://seattle.craigslist.org/est/fuo/d/kirkland-light-weight-chair-and-cushions/7409053555.html","$30","Light weight chair with cushions. asking $30,","excellent","32 minutes ago"
"Selling my coach","https://seattle.craigslist.org/see/fuo/d/seattle-selling-my-coach/7409048985.html","$1,500","I’m selling my leather coach that I bought 4 months ago. Because I am moving to an other state. It’s like new it doesn’t have any damages it’s white sectional leather coach comfortable.
If you are ready to buy contact me other wise don’t waste my time please thanks.","like new","about 2 hours ago"
